Country,Competition,Error,Message
Afghanistan,None,No-Data,None
American Samoa,None,No-Data,None
American Virgin Islands,None,No-Data,None
Anguilla,None,No-Data,None
Antigua and Barbuda,None,No-Data,None
Aruba,None,No-Data,None
Bahamas,None,No-Data,None
Bahrain,None,No-Data,None
Barbados,None,No-Data,None
Belize,None,No-Data,None
Benin,None,No-Data,None
Bermuda,None,No-Data,None
Bhutan,None,No-Data,None
Bonaire,None,No-Data,None
Botsuana,None,No-Data,None
British India,None,No-Data,None
British Virgin Islands,None,No-Data,None
Brunei Darussalam,None,No-Data,None
Burkina Faso,None,No-Data,None
Burundi,None,No-Data,None
Cambodia,None,No-Data,None
Cameroon,None,No-Data,None
Cape Verde,None,No-Data,None
Cayman Islands,None,No-Data,None
Central African Republic,None,No-Data,None
Chad,None,No-Data,None
Christmas Island,None,No-Data,None
Comoros,None,No-Data,None
Congo,None,No-Data,None
Cookinseln,None,No-Data,None
Cote d'Ivoire,None,No-Data,None
CSSR,None,No-Data,None
Cuba,None,No-Data,None
Curacao,None,No-Data,None
DDR,None,No-Data,None
Djibouti,None,No-Data,None
Dominica,None,No-Data,None
Dominican Republic,None,No-Data,None
DR Congo,None,No-Data,None
East Timor,None,No-Data,None
Equatorial Guinea,None,No-Data,None
Eritrea,None,No-Data,None
Eswatini,None,No-Data,None
Ethiopia,None,No-Data,None
Falkland Islands,None,No-Data,None
Federated States of Micronesia,None,No-Data,None
French Guiana,None,No-Data,None
Gabon,None,No-Data,None
Greenland,None,No-Data,None
Grenada,None,No-Data,None
Guadeloupe,None,No-Data,None
Guam,None,No-Data,None
Guernsey,None,No-Data,None
Guinea,None,No-Data,None
Guinea-Bissau,None,No-Data,None
Guyana,None,No-Data,None
Haiti,None,No-Data,None
Isle of Man,None,No-Data,None
Jersey,None,No-Data,None
Jordan,None,No-Data,None
Jugoslawien (SFR),None,No-Data,None
Kenya,None,No-Data,None
Kiribati,None,No-Data,None
"Korea, North",None,No-Data,None
Kuwait,None,No-Data,None
Lesotho,None,No-Data,None
Liberia,None,No-Data,None
Libya,None,No-Data,None
Macao,None,No-Data,None
Macedonia,None,No-Data,None
Madagascar,None,No-Data,None
Malawi,None,No-Data,None
Maldives,None,No-Data,None
Mali,None,No-Data,None
Mariana Islands,None,No-Data,None
Marshall Islands,None,No-Data,None
Martinique,None,No-Data,None
Mauritania,None,No-Data,None
Mauritius,None,No-Data,None
Mayotte,None,No-Data,None
Monaco,None,No-Data,None
Mongolia,None,No-Data,None
Montserrat,None,No-Data,None
Namibia,None,No-Data,None
Nauru,None,No-Data,None
Netherlands Antilles,None,No-Data,None
Netherlands East India,None,No-Data,None
Neukaledonien,None,No-Data,None
Nicaragua,None,No-Data,None
Niger,None,No-Data,None
Nigeria,None,No-Data,None
Niue,None,No-Data,None
Oman,None,No-Data,None
Pakistan,None,No-Data,None
Palästina,None,No-Data,None
Palau,None,No-Data,None
Papua New Guinea,None,No-Data,None
People's republic of the Congo,None,No-Data,None
Puerto Rico,None,No-Data,None
Réunion,None,No-Data,None
Rwanda,None,No-Data,None
Saarland,None,No-Data,None
Saint-Martin,None,No-Data,None
Samoa,None,No-Data,None
Sao Tome and Principe,None,No-Data,None
Senegal,None,No-Data,None
Serbia and Montenegro,None,No-Data,None
Seychelles,None,No-Data,None
Sierra Leone,None,No-Data,None
Sint Maarten,None,No-Data,None
Solomon Islands,None,No-Data,None
Somalia,None,No-Data,None
Southern Sudan,None,No-Data,None
Sri Lanka,None,No-Data,None
St. Kitts & Nevis,None,No-Data,None
St. Lucia,None,No-Data,None
St. Vincent & Grenadinen,None,No-Data,None
Sudan,None,No-Data,None
Suriname,None,No-Data,None
Swaziland,None,No-Data,None
Syria,None,No-Data,None
Tahiti,None,No-Data,None
Tanzania,None,No-Data,None
The Gambia,None,No-Data,None
Tibet,None,No-Data,None
Togo,None,No-Data,None
Tonga,None,No-Data,None
Trinidad and Tobago,None,No-Data,None
Turkmenistan,None,No-Data,None
Turks- and Caicosinseln,None,No-Data,None
Tuvalu,None,No-Data,None
UdSSR,None,No-Data,None
Uganda,None,No-Data,None
United Kingdom,None,No-Data,None
Vanuatu,None,No-Data,None
Vatican,None,No-Data,None
Western Sahara,None,No-Data,None
Yemen,None,No-Data,None
Yugoslavia (Republic),None,No-Data,None
Zaire,None,No-Data,None
Zambia,None,No-Data,None
Zanzibar,None,No-Data,None
Zimbabwe,None,No-Data,None
